Product,Category,Country,Order_Date,Cost,Price,Quantity,Sales,Views,Conversion_Rate,Marketing_Spend,Shipping_Time_Days,Processing_Time_Days,Inventory,Return_Rate,Profit
Product_1,Home,Canada,2023-11-24,84.58,98.39,15,1475.85,360,0.0417,1607.11,4,1,65,0.013,-1399.9599999999998
Product_2,Sports,Canada,2023-12-11,46.71,99.82,7,698.74,294,0.0238,566.76,2,4,166,0.113,-194.99000000000007
Product_3,Beauty,Canada,2023-10-29,49.48,136.17,6,817.02,336,0.0179,669.19,10,4,72,0.057,-149.05000000000007
Product_4,Sports,Canada,2023-10-16,56.18,87.46000000000001,9,787.1400000000001,252,0.0357,366.55,11,1,402,0.157,-85.02999999999992
Product_5,Sports,Germany,2023-01-01,95.09,175.66,1,175.66,34,0.0294,918.98,9,1,399,0.058,-838.4100000000001
Product_6,Fashion,Germany,2023-05-27,53.44,92.02,8,736.16,176,0.0455,954.07,6,4,309,0.127,-645.4300000000001
Product_7,Beauty,India,2023-10-14,111.24,218.70999999999998,3,656.1299999999999,144,0.0208,1126.21,3,3,408,0.125,-803.8000000000001
Product_8,Beauty,USA,2023-05-22,63.66,172.19,4,688.76,100,0.04,1476.14,6,1,111,0.048,-1042.02
Product_9,Beauty,Canada,2023-02-22,14.91,57.61,15,864.15,540,0.0278,1830.98,7,1,273,0.016,-1190.48
Product_10,Sports,India,2023-10-31,118.65,153.95,6,923.6999999999999,270,0.0222,447.92,2,4,406,0.08,-236.12000000000012
Product_11,Home,USA,2023-03-10,46.43,101.67,15,1525.05,600,0.025,297.83,5,4,372,0.059,530.77
Product_12,Beauty,Australia,2023-12-27,67.75,104.21000000000001,3,312.63,81,0.037,233.36,10,1,84,0.148,-123.97999999999999
Product_13,Sports,UK,2023-03-31,104.39,188.35,14,2636.9,560,0.025,458.52,3,4,138,0.146,716.9199999999998
Product_14,Fashion,Germany,2023-08-08,53.21,154.08,14,2157.1200000000003,420,0.0333,1384.31,6,1,38,0.088,27.87000000000012
Product_15,Home,Australia,2023-07-11,13.2,97.24000000000001,4,388.96000000000004,228,0.0175,1509.46,2,3,104,0.113,-1173.3
Product_16,Fashion,USA,2023-03-04,59.22,159.9,12,1918.8000000000002,324,0.037,1615.71,5,3,323,0.113,-407.54999999999995
Product_17,Home,Australia,2023-03-14,141.95,195.62,17,3325.54,731,0.0233,638.67,5,1,280,0.151,273.72000000000037
Product_18,Sports,UK,2023-06-10,98.05,125.24,7,876.68,378,0.0185,750.61,7,1,446,0.082,-560.28
Product_19,Electronics,USA,2023-06-18,102.36,193.53,9,1741.77,297,0.0303,1069.64,11,2,479,0.057,-249.11000000000013
Product_20,Home,Australia,2023-03-30,96.68,146.33,3,438.99,99,0.0303,313.73,10,2,413,0.055,-164.78
Product_21,Fashion,Germany,2023-06-25,33.85,117.69,13,1529.97,377,0.0345,1300.05,4,4,428,0.101,-210.12999999999988
Product_22,Sports,Germany,2023-09-26,65.66,105.43,15,1581.45,465,0.0323,1970.72,10,4,122,0.086,-1374.1699999999998
Product_23,Home,India,2023-03-14,113.89,132.83,18,2390.94,1026,0.0175,849.45,7,1,217,0.085,-508.52999999999986
Product_24,Electronics,Australia,2023-09-02,19.7,138.88,19,2638.72,1007,0.0189,1555.13,8,1,376,0.025,709.29
Product_25,Electronics,Canada,2023-03-18,45.29,72.47,1,72.47,29,0.0345,1100.06,11,2,60,0.132,-1072.8799999999999
Product_26,Beauty,Australia,2023-06-08,45.07,163.8,6,982.8000000000001,216,0.0278,430.06,3,2,99,0.046,282.3200000000001
Product_27,Beauty,USA,2023-11-20,67.64,185.14,2,370.28,72,0.0278,1248.03,11,1,306,0.043,-1013.03
Product_28,Fashion,USA,2023-04-08,147.15,244.47,14,3422.58,308,0.0455,739.77,7,3,353,0.08,622.71
Product_29,Home,Australia,2023-04-12,14.79,97.33000000000001,6,583.98,300,0.02,261.93,7,3,392,0.049,233.31000000000012
Product_30,Home,UK,2023-05-12,80.21,153.76999999999998,14,2152.7799999999997,280,0.05,1342.87,3,4,203,0.109,-313.03
Product_31,Beauty,Germany,2023-04-12,31.01,136.28,4,545.12,124,0.0323,1746.08,3,1,257,0.073,-1325.0
Product_32,Home,USA,2023-01-19,145.75,187.59,8,1500.72,464,0.0172,820.59,3,1,485,0.086,-485.87
Product_33,Home,Germany,2023-03-23,21.43,82.87,3,248.61,69,0.0435,902.53,11,4,4,0.101,-718.2099999999999
Product_34,Electronics,USA,2023-10-06,63.52,141.65,19,2691.35,608,0.0312,1803.84,2,2,445,0.045,-319.3700000000001
Product_35,Beauty,India,2023-12-05,111.99,167.22,14,2341.08,742,0.0189,1664.5,6,2,196,0.036,-891.28
Product_36,Sports,Canada,2023-12-31,107.16,164.18,17,2791.06,680,0.025,1486.92,9,3,179,0.16,-517.5799999999999
Product_37,Beauty,USA,2023-11-27,66.3,112.63,8,901.04,328,0.0244,647.83,3,1,341,0.084,-277.19000000000005
Product_38,Sports,Germany,2023-05-09,55.25,127.32,14,1782.48,322,0.0435,1838.39,6,2,132,0.08,-829.4100000000002
Product_39,Electronics,India,2023-12-10,62.65,166.21,6,997.26,222,0.027,477.95,9,3,442,0.016,143.41000000000003
Product_40,Fashion,USA,2023-11-06,43.32,75.49000000000001,16,1207.8400000000001,384,0.0417,1328.19,11,3,323,0.095,-813.4699999999999
Product_41,Home,UK,2023-03-30,34.77,147.56,19,2803.64,722,0.0263,251.84,6,3,252,0.104,1891.1699999999998
Product_42,Electronics,Canada,2023-08-01,75.04,160.84,14,2251.76,294,0.0476,1358.7,3,2,264,0.105,-157.5
Product_43,Home,USA,2023-05-23,43.94,144.5,19,2745.5,589,0.0323,698.86,4,2,92,0.13,1211.7800000000002
Product_44,Fashion,India,2023-03-06,46.68,117.86000000000001,3,353.58000000000004,108,0.0278,1009.42,7,1,149,0.04,-795.8799999999999
Product_45,Fashion,UK,2023-03-17,100.23,195.98000000000002,10,1959.8000000000002,290,0.0345,821.48,6,1,410,0.053,136.0200000000001
Product_46,Electronics,Australia,2023-07-18,145.44,157.22,19,2987.18,1007,0.0189,510.96,5,3,137,0.148,-287.14
Product_47,Fashion,India,2023-05-23,92.53,192.55,9,1732.95,225,0.04,1319.57,5,3,207,0.171,-419.3899999999999
Product_48,Sports,India,2023-11-12,16.16,30.58,13,397.53999999999996,351,0.037,1787.56,6,2,489,0.033,-1600.1
Product_49,Fashion,UK,2023-04-03,15.96,123.85,7,866.9499999999999,210,0.0333,1926.35,3,2,124,0.095,-1171.12
Product_50,Home,India,2023-11-01,142.96,262.08000000000004,14,3669.120000000001,434,0.0323,546.22,10,1,233,0.046,1121.4600000000005
Product_51,Home,UK,2023-08-12,48.11,90.46000000000001,9,814.1400000000001,252,0.0357,1491.27,3,1,60,0.02,-1110.12
Product_52,Home,USA,2023-10-18,18.35,51.49,19,978.3100000000001,399,0.0476,1395.81,11,4,306,0.065,-766.15
Product_53,Home,UK,2023-04-12,91.86,186.05,15,2790.75,405,0.037,818.08,3,1,265,0.034,594.7700000000001
Product_54,Sports,UK,2023-09-24,95.43,133.26,14,1865.6399999999999,420,0.0333,234.38,11,2,133,0.131,295.2399999999998
Product_55,Beauty,Canada,2023-12-21,99.03,204.24,6,1225.44,330,0.0182,1441.62,10,3,317,0.101,-810.3599999999999
Product_56,Electronics,UK,2023-04-20,43.77,65.08,4,260.32,116,0.0345,1901.89,4,4,112,0.034,-1816.65
Product_57,Home,UK,2023-11-26,7.19,31.05,8,248.4,320,0.025,1337.82,11,1,388,0.012,-1146.94
Product_58,Fashion,Australia,2023-09-22,144.93,262.64,17,4464.88,663,0.0256,983.53,8,1,377,0.147,1017.5399999999997
Product_59,Home,USA,2023-01-03,41.38,125.5,9,1129.5,243,0.037,1145.28,5,2,453,0.04,-388.19999999999993
Product_60,Fashion,Canada,2023-03-26,103.02,206.18,1,206.18,55,0.0182,559.33,7,4,190,0.113,-456.17
Product_61,Fashion,Australia,2023-10-09,107.46,153.14,14,2143.96,672,0.0208,1550.98,5,1,378,0.067,-911.4600000000002
Product_62,Home,Germany,2023-11-24,93.45,177.86,11,1956.46,341,0.0323,1543.56,11,3,439,0.11,-615.0499999999998
Product_63,Sports,USA,2023-10-31,50.37,125.74000000000001,3,377.22,99,0.0303,461.93,8,2,186,0.064,-235.82
Product_64,Fashion,USA,2023-04-27,44.31,120.66,9,1085.94,360,0.025,1780.36,2,4,318,0.025,-1093.21
Product_65,Fashion,Germany,2023-08-09,91.66,176.74,14,2474.36,574,0.0244,684.54,4,1,366,0.048,506.58000000000015
Product_66,Home,UK,2023-06-03,130.58,203.87,9,1834.83,360,0.025,1968.06,4,1,88,0.042,-1308.45
Product_67,Fashion,Australia,2023-06-02,142.28,199.48000000000002,4,797.9200000000001,196,0.0204,889.23,2,4,186,0.083,-660.43
Product_68,Fashion,India,2023-01-12,20.36,60.71,4,242.84,232,0.0172,520.19,7,2,306,0.122,-358.7900000000001
Product_69,Home,Canada,2023-05-13,27.45,121.99000000000001,8,975.9200000000001,312,0.0256,833.1,10,4,433,0.055,-76.77999999999997
Product_70,Home,India,2023-10-31,141.99,176.88,2,353.76,86,0.0233,992.32,9,4,131,0.012,-922.5400000000001
